ESTIMATE SUMMARY,,,,,,,,,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,,,,,,,,,
0,356.34,4276.08,USD,,,,,,,,,,,,,,
,,* Includes upfront cost,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Detailed Estimate,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary,,,,,,,,
,,,,,,,,,,,,,,,,,
My Estimate,US East (Chicago),Web Server,Amazon EC2 ,0,277.836,3334.03,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.xlarge), Pricing strategy ( 3yr  No Upfront), EBS Storage amount (3000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)",,,,,,,,
My Estimate,Asia Pacific (Sydney),,Lightsail Virtual Servers,0,78.4969,941.96,USD,,"Operating system (Linux), Number of servers (1), Instance type (Bundle:16GB)",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Acknowledgement,,,,,,,,,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
